state,state_abbr,treatment_variable,adoption_rule,adoption_year,included_in_mortality_sample,absorbing_after_adoption_through_2024,post_adoption_reversal_years,starts_banned_1999,ends_banned_2023,ten_round_limit_2023,first_observed_adoption_year_any_panel,notes_rand_crosscheck
Alaska,AK,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Alabama,AL,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Arkansas,AR,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Arizona,AZ,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
California,CA,magazine,first 0-to-1 switch in magazine (Tufts),2000,False,True,,0,1,1,2000,CA Roberti-Roos AWB (1989) banned LCMs for assault weapons; the broad LCM sale ban (Penal Code 32310) took effect 2000 (10-round). CA tightened to a possession ban in 2016 (Prop 63). Tufts: 0->1 in 2000; excluded from cohorts because 2000 - 5 = 1995 < ANALYSIS_LO. Matches RAND.
Colorado,CO,magazine,first 0-to-1 switch in magazine (Tufts),2013,True,True,,0,1,0,2013,"CO HB 13-1224, effective July 1 2013 (post-Aurora/Sandy Hook). 15-round limit. Tufts: 0->1 in 2013. Matches RAND."
Connecticut,CT,magazine,first 0-to-1 switch in magazine (Tufts),2013,True,True,,0,1,1,2013,"CT Public Act 13-3, April 2013 (post-Newtown). 10-round limit, with grandfathering of pre-existing magazines requiring registration. Tufts: 0->1 in 2013. Matches RAND."
Delaware,DE,magazine,first 0-to-1 switch in magazine (Tufts),2022,True,True,,0,1,0,2022,DE HB 450 / Lethal Firearms Safety Act of 2022. 17-round limit. Tufts: 0->1 in 2022. Matches RAND.
Florida,FL,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Georgia,GA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Hawaii,HI,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,"HI bans LCMs for HANDGUNS only (no long-gun coverage), so Tufts coding rule (must cover long guns) yields magazine==0 throughout. RAND lists HI's handgun-only LCM provision but excludes from a broad state-LCM list for the same reason. No discrepancy."
Iowa,IA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Idaho,ID,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Illinois,IL,magazine,first 0-to-1 switch in magazine (Tufts),2023,True,True,,0,1,0,2023,"IL Protect Illinois Communities Act, January 2023 (post-Highland Park). 10-round rifle / 15-round handgun limit, paired with AWB. Tufts: 0->1 in 2023. Matches RAND."
Indiana,IN,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Kansas,KS,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Kentucky,KY,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Louisiana,LA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Massachusetts,MA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,1,1,1,1998,"MA passed its LCM ban in 1998 (Gun Control Act of 1998), 10-round limit. Tufts magazine==1 from 1998 onward. Already-banned at 1999, excluded from in-window cohorts. Matches RAND."
Maryland,MD,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,1,1,1,1994,"MD originally banned magazines >20 rounds in 1994. Tufts magazine==1 from 1994 onward (matches the original ban year). MD reduced limit to 10 rounds in 2013 (Firearm Safety Act); RAND State Firearm Laws Database flags 2013 as the modern LCM ban event. Tufts coding does NOT generate a 2013 cohort (already 1) -- DOCUMENTED DISAGREEMENT. Already-banned at 1999, excluded from in-window cohorts."
Maine,ME,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Michigan,MI,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Minnesota,MN,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Missouri,MO,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Mississippi,MS,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Montana,MT,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
North Carolina,NC,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
North Dakota,ND,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Nebraska,NE,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
New Hampshire,NH,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
New Jersey,NJ,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,1,1,1,1990,"NJ Public Law 1990 ch. 32 (Assault Firearms Act). Tufts magazine==1 from 1990 onward; NJ used a 15-round limit (later 10 rounds in 2018). Already-banned at 1999, excluded from in-window cohorts. Matches RAND."
New Mexico,NM,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Nevada,NV,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
New York,NY,magazine,first 0-to-1 switch in magazine (Tufts),2000,False,True,,0,1,1,2000,"NY first restricted LCMs in 2000 (Hevesi/Pataki LCM ban, 10-round); tightened to 7 rounds in NY SAFE Act 2013 (later struck down on the 7-round limit; reverted to 10). Tufts: 0->1 in 2000; excluded from cohorts (2000 - 5 = 1995 < ANALYSIS_LO). The 2013 SAFE-Act expansion is NOT a 0->1 transition in magazine. Matches RAND on the 2000 event."
Ohio,OH,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Oklahoma,OK,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Oregon,OR,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,OR Measure 114 (Nov 2022) banned magazines >10 rounds; effective date stayed by ongoing state and federal litigation through 2024 (Harney County preliminary injunction Dec 2022; OR Supreme Court appeal pending). Tufts magazine==0 throughout; RAND notes the passage but the ban is NOT in force. DOCUMENTED DISAGREEMENT but we agree with Tufts that no enforced ban exists in our analysis window.
Pennsylvania,PA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Rhode Island,RI,magazine,first 0-to-1 switch in magazine (Tufts),2022,True,True,,0,1,1,2022,"RI House Bill 7457 / 2022 LCM ban, 10-round limit. Tufts: 0->1 in 2022. Matches RAND."
South Carolina,SC,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
South Dakota,SD,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Tennessee,TN,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Texas,TX,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Utah,UT,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Virginia,VA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Vermont,VT,magazine,first 0-to-1 switch in magazine (Tufts),2018,True,True,,0,1,0,2018,"VT Act 94, effective October 2018. 10-round limit for long guns, 15-round limit for handguns. Tufts: 0->1 in 2018. Matches RAND."
Washington,WA,magazine,first 0-to-1 switch in magazine (Tufts),2022,True,True,,0,1,1,2022,"WA SB 5078, signed March 2022, effective July 2022. 10-round limit on sale/manufacture/import (possession remains legal). Tufts: 0->1 in 2022. Matches RAND."
Wisconsin,WI,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
West Virginia,WV,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Wyoming,WY,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
