outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_states
firearm_homicide_rate,or,broad,-5,-0.04389282325095825,0.1822258445578693,4,7
firearm_homicide_rate,or,broad,-4,-0.05993095721428594,0.2932209985120598,4,7
firearm_homicide_rate,or,broad,-3,0.09338862956611486,0.27663564067000135,4,7
firearm_homicide_rate,or,broad,-2,0.08581424802168983,0.07571048090928041,4,7
firearm_homicide_rate,or,broad,0,-0.5983323945679443,0.4205023494810239,4,7
firearm_homicide_rate,or,broad,1,-0.6216864170487807,0.5621263434231525,3,6
firearm_homicide_rate,or,broad,2,-1.0840228911869918,0.3192733530903609,2,3
firearm_homicide_rate,or,broad,3,-1.4695868248414632,0.8377103421453524,1,2
firearm_homicide_rate,or,broad,4,-1.0597981994308945,0.4288757800836532,2,3
firearm_homicide_rate,or,broad,5,-0.8401752591951219,0.6543195559379041,2,3
firearm_homicide_rate,or,strict,-5,0.02253199299786629,0.1892759213236597,4,7
firearm_homicide_rate,or,strict,-4,-0.012836520132391865,0.29234268096743465,4,7
firearm_homicide_rate,or,strict,-3,0.13956240417598031,0.2807239072042947,4,7
firearm_homicide_rate,or,strict,-2,0.1028068845825035,0.07893734660971076,4,7
firearm_homicide_rate,or,strict,0,-0.5994876155684821,0.41932576962346557,4,7
firearm_homicide_rate,or,strict,1,-0.6353192721024186,0.5608650905086051,3,6
firearm_homicide_rate,or,strict,2,-1.0949932228684212,0.304526634537997,2,3
firearm_homicide_rate,or,strict,3,-1.4780194212894737,0.8465196174710157,1,2
firearm_homicide_rate,or,strict,4,-1.0988253542105264,0.43565603569447786,2,3
firearm_homicide_rate,or,strict,5,-0.8923484968421052,0.6680464474106044,2,3
firearm_homicide_rate,ra,broad,-5,-0.5611445842259429,0.12223839918218195,4,7
firearm_homicide_rate,ra,broad,-4,-0.6828462132437597,0.12983097545411199,4,7
firearm_homicide_rate,ra,broad,-3,-0.5965525022134621,0.1556811924010332,4,7
firearm_homicide_rate,ra,broad,-2,-0.06722746237032026,0.08679951475856794,4,7
firearm_homicide_rate,ra,broad,0,-0.8850737016849087,0.2216744016104404,4,7
firearm_homicide_rate,ra,broad,1,-1.016321956689675,0.3232248917701016,3,6
firearm_homicide_rate,ra,broad,2,-1.0982366946431303,0.2696181613353736,2,3
firearm_homicide_rate,ra,broad,3,-1.6301697595637137,0.514807108053013,1,2
firearm_homicide_rate,ra,broad,4,-0.7517863409053328,0.27938063776517086,2,3
firearm_homicide_rate,ra,broad,5,-0.6167111453539443,0.3532133850319298,2,3
firearm_homicide_rate,ra,strict,-5,-0.6422369463135862,0.14875889630257308,4,7
firearm_homicide_rate,ra,strict,-4,-0.8190371402160748,0.13358453810282106,4,7
firearm_homicide_rate,ra,strict,-3,-0.6879360691717243,0.16330000238929496,4,7
firearm_homicide_rate,ra,strict,-2,-0.021385985371161598,0.09347475883240784,4,7
firearm_homicide_rate,ra,strict,0,-0.9615763676730945,0.2089087575324681,4,7
firearm_homicide_rate,ra,strict,1,-1.1300238710043793,0.3046647829777516,3,6
firearm_homicide_rate,ra,strict,2,-1.2135634403098097,0.3009557007847193,2,3
firearm_homicide_rate,ra,strict,3,-1.86201633414778,0.590223695501487,1,2
firearm_homicide_rate,ra,strict,4,-0.8776957903146462,0.3376146710135668,2,3
firearm_homicide_rate,ra,strict,5,-0.7684227424830932,0.37196907509446886,2,3
firearm_suicide_rate,or,broad,-5,0.03169601752740573,0.4101756113940252,4,7
firearm_suicide_rate,or,broad,-4,0.07017394388294325,0.2143491650960246,4,7
firearm_suicide_rate,or,broad,-3,-0.0742860373981038,0.4137901175871543,4,7
firearm_suicide_rate,or,broad,-2,0.12540194601458482,0.2544429140658442,4,7
firearm_suicide_rate,or,broad,0,-0.14536075174233531,0.2065636904324939,4,7
firearm_suicide_rate,or,broad,1,0.1638629201742476,0.18027479980750674,3,6
firearm_suicide_rate,or,broad,2,-0.15491415326312996,0.10843295246009016,2,3
firearm_suicide_rate,or,broad,3,0.028295617301918236,0.2178495094246789,2,3
firearm_suicide_rate,or,broad,4,-0.7729361770594295,0.1519300544954219,2,3
firearm_suicide_rate,or,broad,5,-0.23120994633524128,0.22200537429984687,2,3
firearm_suicide_rate,or,strict,-5,0.09178897851284758,0.41001625651398277,4,7
firearm_suicide_rate,or,strict,-4,0.12962641996707616,0.21228741167738985,4,7
firearm_suicide_rate,or,strict,-3,-0.029382608626346944,0.42128109454146756,4,7
firearm_suicide_rate,or,strict,-2,0.15090838108036994,0.253472221404448,4,7
firearm_suicide_rate,or,strict,0,-0.15127471719201901,0.20833847019290577,4,7
firearm_suicide_rate,or,strict,1,0.16274568642341483,0.1889290619389806,3,6
firearm_suicide_rate,or,strict,2,-0.2010622564363056,0.11347846012471184,2,3
firearm_suicide_rate,or,strict,3,-0.03703042949562621,0.22071602953644415,2,3
firearm_suicide_rate,or,strict,4,-0.8542395436393605,0.15444344697144216,2,3
firearm_suicide_rate,or,strict,5,-0.3128677346502617,0.22464932076391744,2,3
firearm_suicide_rate,ra,broad,-5,-0.11049981368385416,0.1944733667700003,4,7
firearm_suicide_rate,ra,broad,-4,0.24446926001108643,0.12551204243698605,4,7
firearm_suicide_rate,ra,broad,-3,-0.07836603156960953,0.1884969074879911,4,7
firearm_suicide_rate,ra,broad,-2,0.32290547034029005,0.13713517068991343,4,7
firearm_suicide_rate,ra,broad,0,0.1983224328793909,0.14912280750242699,4,7
firearm_suicide_rate,ra,broad,1,0.49933240797664097,0.14005686169115533,3,6
firearm_suicide_rate,ra,broad,2,0.08114787495873488,0.1838679373699538,2,3
firearm_suicide_rate,ra,broad,3,0.18889705816298777,0.16797241799433824,2,3
firearm_suicide_rate,ra,broad,4,-0.26944868390706345,0.13628608416096036,2,3
firearm_suicide_rate,ra,broad,5,0.29707947847317123,0.09350822575258287,2,3
firearm_suicide_rate,ra,strict,-5,-0.0455763998531426,0.229835002715225,4,7
firearm_suicide_rate,ra,strict,-4,0.354288672560068,0.15240205029048395,4,7
firearm_suicide_rate,ra,strict,-3,-0.0917207924100201,0.2161541296604876,4,7
firearm_suicide_rate,ra,strict,-2,0.36824828814965377,0.15738876111716535,4,7
firearm_suicide_rate,ra,strict,0,0.17762974613861984,0.1961093691348364,4,7
firearm_suicide_rate,ra,strict,1,0.4878748256159118,0.19896757543339122,3,6
firearm_suicide_rate,ra,strict,2,-0.024461474155515528,0.2653171469892097,2,3
firearm_suicide_rate,ra,strict,3,-0.020543986559316885,0.258217619482216,2,3
firearm_suicide_rate,ra,strict,4,-0.38194778611002356,0.21793566240328877,2,3
firearm_suicide_rate,ra,strict,5,0.035984679324990054,0.1499990176666718,2,3
homicide_rate,or,broad,-5,-0.4301500050771409,0.382084262597602,4,7
homicide_rate,or,broad,-4,-0.5215333277201708,0.4225121630333369,4,7
homicide_rate,or,broad,-3,-0.35460174993753113,0.4556859823588525,4,7
homicide_rate,or,broad,-2,-0.22034399106439345,0.23888730718110585,4,7
homicide_rate,or,broad,0,-1.0182751785647008,0.5944926197864918,4,7
homicide_rate,or,broad,1,-0.9235244562704841,0.7330060751215949,3,6
homicide_rate,or,broad,2,-0.7629545221884702,0.11746238882345135,2,3
homicide_rate,or,broad,3,-1.606993576480837,0.3759757503449306,2,3
homicide_rate,or,broad,4,-0.529942833533652,0.33913999756405666,2,3
homicide_rate,or,broad,5,-0.6113707842801176,0.4090553574042469,2,3
homicide_rate,or,strict,-5,-0.3855711656447437,0.3749355080430342,4,7
homicide_rate,or,strict,-4,-0.4953031299838639,0.4247268092175282,4,7
homicide_rate,or,strict,-3,-0.3192407117655355,0.4585567677900569,4,7
homicide_rate,or,strict,-2,-0.22249559857282558,0.24147873261842517,4,7
homicide_rate,or,strict,0,-1.0336401000091164,0.5911787168980079,4,7
homicide_rate,or,strict,1,-0.9546451519065724,0.7281898851997134,3,6
homicide_rate,or,strict,2,-0.7761266934335989,0.11260558202851198,2,3
homicide_rate,or,strict,3,-1.6248907673021706,0.3799468637951043,2,3
homicide_rate,or,strict,4,-0.5581454210055713,0.3476688718731675,2,3
homicide_rate,or,strict,5,-0.6575928325472851,0.4202583518621681,2,3
homicide_rate,ra,broad,-5,-0.7737952644560664,0.20387676757517076,4,7
homicide_rate,ra,broad,-4,-0.7199439988838043,0.2186817290041907,4,7
homicide_rate,ra,broad,-3,-0.7801147878835402,0.25854785269967234,4,7
homicide_rate,ra,broad,-2,-0.23861493092998098,0.13788608370427508,4,7
homicide_rate,ra,broad,0,-1.258656432149032,0.3322064244314104,4,7
homicide_rate,ra,broad,1,-1.2932489121249358,0.41219613939821775,3,6
homicide_rate,ra,broad,2,-0.8640248431009226,0.22046097794984937,2,3
homicide_rate,ra,broad,3,-1.22981750355223,0.27734618846803205,2,3
homicide_rate,ra,broad,4,-0.4935674872951369,0.3174810257273392,2,3
homicide_rate,ra,broad,5,-0.6143288051144631,0.2644296683795864,2,3
homicide_rate,ra,strict,-5,-0.7039617701468514,0.22572083380095456,4,7
homicide_rate,ra,strict,-4,-0.61231556497621,0.22098818524460578,4,7
homicide_rate,ra,strict,-3,-0.660227434524591,0.28150751633379084,4,7
homicide_rate,ra,strict,-2,-0.10241824058108734,0.14878485574957673,4,7
homicide_rate,ra,strict,0,-1.3643721543040226,0.31705994961214756,4,7
homicide_rate,ra,strict,1,-1.4512088169688657,0.39398612643055675,3,6
homicide_rate,ra,strict,2,-0.9741498838076401,0.2559853176804188,2,3
homicide_rate,ra,strict,3,-1.409247479916818,0.30908440671371773,2,3
homicide_rate,ra,strict,4,-0.6942358503400696,0.38428470135974224,2,3
homicide_rate,ra,strict,5,-0.852597136397374,0.28305228037249053,2,3
motor_vehicle_theft_rate,or,broad,-5,-24.52558830577106,8.793684578464415,4,7
motor_vehicle_theft_rate,or,broad,-4,-20.804376511624056,10.942219445375876,4,7
motor_vehicle_theft_rate,or,broad,-3,-26.036991505474425,14.80212981484425,4,7
motor_vehicle_theft_rate,or,broad,-2,-29.209541293077805,12.471199098898742,4,7
motor_vehicle_theft_rate,or,broad,0,32.288104307990146,20.252634234563747,4,7
motor_vehicle_theft_rate,or,broad,1,37.17460908175343,28.66559863363807,3,6
motor_vehicle_theft_rate,or,broad,2,18.254200814426238,15.809795153311251,2,3
motor_vehicle_theft_rate,or,broad,3,36.87750799572159,25.27794308688505,2,3
motor_vehicle_theft_rate,or,broad,4,50.122457670721616,31.753672223461976,2,3
motor_vehicle_theft_rate,or,broad,5,42.050268454105264,31.85345840222788,2,3
motor_vehicle_theft_rate,or,strict,-5,-22.701719795551558,8.995374192220181,4,7
motor_vehicle_theft_rate,or,strict,-4,-19.791989510381423,10.792791548313048,4,7
motor_vehicle_theft_rate,or,strict,-3,-25.07110991706968,15.09139022213116,4,7
motor_vehicle_theft_rate,or,strict,-2,-29.066038589843515,12.410254614590468,4,7
motor_vehicle_theft_rate,or,strict,0,33.45542545701664,20.16668262701487,4,7
motor_vehicle_theft_rate,or,strict,1,40.78372363706716,28.363405294081105,3,6
motor_vehicle_theft_rate,or,strict,2,15.391114800251595,15.107469056814352,2,3
motor_vehicle_theft_rate,or,strict,3,32.85991578182629,25.799321355719414,2,3
motor_vehicle_theft_rate,or,strict,4,46.01664654928612,32.35870165314383,2,3
motor_vehicle_theft_rate,or,strict,5,39.99968887217452,32.70717214929577,2,3
motor_vehicle_theft_rate,ra,broad,-5,-32.21576559994006,9.11173383393076,4,7
motor_vehicle_theft_rate,ra,broad,-4,-22.849397376545838,8.518073027003387,4,7
motor_vehicle_theft_rate,ra,broad,-3,-16.762652975573964,8.577475907145619,4,7
motor_vehicle_theft_rate,ra,broad,-2,-16.084721171747656,7.802577021513916,4,7
motor_vehicle_theft_rate,ra,broad,0,26.551883842531723,8.830222196449299,4,7
motor_vehicle_theft_rate,ra,broad,1,40.05602137193708,11.739248393076075,3,6
motor_vehicle_theft_rate,ra,broad,2,34.77556723508873,6.533969293039304,2,3
motor_vehicle_theft_rate,ra,broad,3,50.88748112268684,13.709612910512405,2,3
motor_vehicle_theft_rate,ra,broad,4,67.71647021606836,21.841488989843665,2,3
motor_vehicle_theft_rate,ra,broad,5,74.15657336095288,20.991965725869353,2,3
motor_vehicle_theft_rate,ra,strict,-5,-30.493592581562822,10.671203960151658,4,7
motor_vehicle_theft_rate,ra,strict,-4,-20.810884800501125,10.117770526085186,4,7
motor_vehicle_theft_rate,ra,strict,-3,-11.168744169171406,8.969036146766747,4,7
motor_vehicle_theft_rate,ra,strict,-2,-10.026729461516522,7.60118264062062,4,7
motor_vehicle_theft_rate,ra,strict,0,23.831636561207517,8.421533033710906,4,7
motor_vehicle_theft_rate,ra,strict,1,37.254714334018296,12.018666166314976,3,6
motor_vehicle_theft_rate,ra,strict,2,31.382299028973815,8.909047968289808,2,3
motor_vehicle_theft_rate,ra,strict,3,39.848299983133174,18.883808857364713,2,3
motor_vehicle_theft_rate,ra,strict,4,47.853930458449454,29.427087815926203,2,3
motor_vehicle_theft_rate,ra,strict,5,48.63942620992523,28.15900885803208,2,3
nonfirearm_suicide_rate,or,broad,-5,0.20207948231020362,0.15370051766361442,4,7
nonfirearm_suicide_rate,or,broad,-4,0.32492855574839846,0.15550076950960662,4,7
nonfirearm_suicide_rate,or,broad,-3,-0.21790561038716527,0.14476216372672482,4,7
nonfirearm_suicide_rate,or,broad,-2,-0.1693420736018966,0.2253022803345977,4,7
nonfirearm_suicide_rate,or,broad,0,0.20885816612826175,0.29950209200184275,4,7
nonfirearm_suicide_rate,or,broad,1,-0.06404535597018648,0.17035484074058965,3,6
nonfirearm_suicide_rate,or,broad,2,-0.11558164693283093,0.15227694651223936,2,3
nonfirearm_suicide_rate,or,broad,3,0.9661646038752387,0.22224775012602696,2,3
nonfirearm_suicide_rate,or,broad,4,0.32611726590053786,0.17400494358295196,2,3
nonfirearm_suicide_rate,or,broad,5,0.5310536016992756,0.13105930188131415,2,3
nonfirearm_suicide_rate,or,strict,-5,0.22928632613961106,0.15167709758100545,4,7
nonfirearm_suicide_rate,or,strict,-4,0.36648752747028346,0.15927435357178185,4,7
nonfirearm_suicide_rate,or,strict,-3,-0.19160838467458133,0.14629431843905957,4,7
nonfirearm_suicide_rate,or,strict,-2,-0.15541224692468472,0.22973858006259745,4,7
nonfirearm_suicide_rate,or,strict,0,0.23200603776792336,0.3040176567034278,4,7
nonfirearm_suicide_rate,or,strict,1,-0.04404531532054214,0.17011301482509922,3,6
nonfirearm_suicide_rate,or,strict,2,-0.12903787027099048,0.15283288338066325,2,3
nonfirearm_suicide_rate,or,strict,3,0.9351156609630432,0.22211715552516076,2,3
nonfirearm_suicide_rate,or,strict,4,0.3020598745816643,0.17493868273490573,2,3
nonfirearm_suicide_rate,or,strict,5,0.5427882982263628,0.13654012657441503,2,3
nonfirearm_suicide_rate,ra,broad,-5,0.3584468545924086,0.1188297799985661,4,7
nonfirearm_suicide_rate,ra,broad,-4,0.6829471469034579,0.1312370934363654,4,7
nonfirearm_suicide_rate,ra,broad,-3,-0.1668916057581078,0.11156758565302331,4,7
nonfirearm_suicide_rate,ra,broad,-2,0.1277049581657845,0.15054823818463767,4,7
nonfirearm_suicide_rate,ra,broad,0,0.43433131722034074,0.19136476968046326,4,7
nonfirearm_suicide_rate,ra,broad,1,0.2799753300597444,0.16781793399581077,3,6
nonfirearm_suicide_rate,ra,broad,2,0.25876797722235934,0.15811547819100397,2,3
nonfirearm_suicide_rate,ra,broad,3,1.2578341917577978,0.19314348289266414,2,3
nonfirearm_suicide_rate,ra,broad,4,0.6414710719989908,0.17753747339589013,2,3
nonfirearm_suicide_rate,ra,broad,5,1.1064496429548285,0.25223343738358567,2,3
nonfirearm_suicide_rate,ra,strict,-5,0.42640960076946094,0.15107493880506317,4,7
nonfirearm_suicide_rate,ra,strict,-4,0.812503410519573,0.17470747481571325,4,7
nonfirearm_suicide_rate,ra,strict,-3,-0.07791258949748617,0.1503238854347716,4,7
nonfirearm_suicide_rate,ra,strict,-2,0.29877314615799694,0.18560420622295856,4,7
nonfirearm_suicide_rate,ra,strict,0,0.623124976285127,0.21599980113201278,4,7
nonfirearm_suicide_rate,ra,strict,1,0.4659093222496015,0.21755600286946417,3,6
nonfirearm_suicide_rate,ra,strict,2,0.42696640528670626,0.20541628411570803,2,3
nonfirearm_suicide_rate,ra,strict,3,1.165652227202399,0.2565046416498579,2,3
nonfirearm_suicide_rate,ra,strict,4,0.7008167839434709,0.25898378017354506,2,3
nonfirearm_suicide_rate,ra,strict,5,1.3645837662668108,0.3802181245597905,2,3
total_suicide_rate,or,broad,-5,0.2337754998376097,0.5177964188817582,4,7
total_suicide_rate,or,broad,-4,0.39510249963134164,0.3156731173073958,4,7
total_suicide_rate,or,broad,-3,-0.292191647785269,0.46193291059937347,4,7
total_suicide_rate,or,broad,-2,-0.04394012758731179,0.3276650677518399,4,7
total_suicide_rate,or,broad,0,0.0634974143859264,0.21098733531702454,4,7
total_suicide_rate,or,broad,1,0.09981756420406121,0.1971921560744308,3,6
total_suicide_rate,or,broad,2,-0.270495800195961,0.21857431681227432,2,3
total_suicide_rate,or,broad,3,0.9944602211771574,0.16278026320096858,2,3
total_suicide_rate,or,broad,4,-0.4468189111588913,0.18654554148301625,2,3
total_suicide_rate,or,broad,5,0.2998436553640349,0.2450902962340647,2,3
total_suicide_rate,or,strict,-5,0.3210753046524588,0.5121809546933207,4,7
total_suicide_rate,or,strict,-4,0.4961139474373596,0.31387161478783426,4,7
total_suicide_rate,or,strict,-3,-0.22099099330092825,0.4680467771774224,4,7
total_suicide_rate,or,strict,-2,-0.004503865844314739,0.3279712903227588,4,7
total_suicide_rate,or,strict,0,0.08073132057590421,0.21702482257054512,4,7
total_suicide_rate,or,strict,1,0.11870037110287272,0.20964383828421798,3,6
total_suicide_rate,or,strict,2,-0.33010012670729594,0.21933260879029928,2,3
total_suicide_rate,or,strict,3,0.8980852314674171,0.1710790197639368,2,3
total_suicide_rate,or,strict,4,-0.5521796690576959,0.1917359277653279,2,3
total_suicide_rate,or,strict,5,0.22992056357610166,0.254237384454956,2,3
total_suicide_rate,ra,broad,-5,0.2479470409085523,0.2734009247308563,4,7
total_suicide_rate,ra,broad,-4,0.9274164069145456,0.21219346196560726,4,7
total_suicide_rate,ra,broad,-3,-0.24525763732772127,0.2371532381794318,4,7
total_suicide_rate,ra,broad,-2,0.4506104285060684,0.20005476583287024,4,7
total_suicide_rate,ra,broad,0,0.6326537500997317,0.22500027498841557,4,7
total_suicide_rate,ra,broad,1,0.7793077380363886,0.2427979124046806,3,6
total_suicide_rate,ra,broad,2,0.3399158521810905,0.3053030132021315,2,3
total_suicide_rate,ra,broad,3,1.44673124992078,0.3134914294460545,2,3
total_suicide_rate,ra,broad,4,0.37202238809193133,0.28240678973183414,2,3
total_suicide_rate,ra,broad,5,1.4035291214280008,0.27071076153759477,2,3
total_suicide_rate,ra,strict,-5,0.38083320091632256,0.32148351932759356,4,7
total_suicide_rate,ra,strict,-4,1.1667920830796432,0.272315060170018,4,7
total_suicide_rate,ra,strict,-3,-0.16963338190750757,0.2767782636596351,4,7
total_suicide_rate,ra,strict,-2,0.6670214343076513,0.24368198558708362,4,7
total_suicide_rate,ra,strict,0,0.8007547224237507,0.2922339938280201,4,7
total_suicide_rate,ra,strict,1,0.9537841478655146,0.3408314891561756,3,6
total_suicide_rate,ra,strict,2,0.40250493113119096,0.4111365356502011,2,3
total_suicide_rate,ra,strict,3,1.1451082406430857,0.4602111704812953,2,3
total_suicide_rate,ra,strict,4,0.31886899783345507,0.42459724795894477,2,3
total_suicide_rate,ra,strict,5,1.400568445591793,0.41635008588469385,2,3
